,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
ADAM23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023935288826366016,0.0,0.0,0.0,0.0
ADAM28,0.0,0.002508816958332351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM8,0.0,0.002873776387298618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMDEC1,0.0,0.0020024388519284423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS1,0.0,0.002917690608187149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006837687765881899,0.0,0.0,0.0,0.0
ADAMTS19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042899547928969255,0.0,0.0,0.0
ADAMTS4,0.0,0.002281802765603504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS8,0.0,0.0,0.0,0.0,0.0,0.001946521738216859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTSL4,0.0018005777288036407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY4,0.001513269708458622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1,0.0005660559425757491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH1B,0.0,0.0,0.0,0.0,0.0,0.0030599080083964928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH4,0.0,0.0,0.0,0.0,0.0019082434739451813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578663119236848,0.0,0.0
ADIPOQ,0.0,0.0,0.0,0.0,0.000328571723990561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIRF,0.0022239134900920755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM,0.0,0.0,0.0,0.004189552884111102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2A,0.0,0.0,0.003167721443131395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,0.0,0.0,0.003043346315081547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,0.0,0.0,0.0,0.0023008406998758176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADTRP,0.0,0.0,0.0,0.0,0.0,0.0022175796836816815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF165138.7,0.0,0.0,0.0006838370676777083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008855435023245517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006840292380790179,0.0,0.0,0.0,0.0,0.0,0.0
AGER,0.0,0.0034263016410769156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR2,0.0,0.0,0.007231848354607511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR3,0.0,0.0,0.0,0.0,0.0,0.0033879616652623483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027948289626394562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGT,0.0,0.0,0.0034770763070808342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGXT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003781207077644017,0.0,0.0,0.0,0.0,0.0
AHCYL2,0.0,0.0029821973733341438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNAK2,0.0,0.0028132392692375922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005554261801068448,0.0,0.0,0.0,0.0,0.0,0.0
AIF1,0.0022321623119112986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIM1,0.0016472741534841156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIM2,0.0,0.0,0.0,0.0025966849415298182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRE,0.0,0.0,0.0,0.0,0.0008731276581567356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014916168209150534,0.0
AK4,0.0,0.0025172524583900353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP12,0.0,0.00242595057541275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP14,0.0,0.0,0.002095381702745253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP2,0.0,0.0030065114617357034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKNA,0.0017364548120202454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1B1,0.0023140279775134003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1B10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03086125815499797,0.0,0.0,0.0,0.0,0.0,0.0
AKR1B15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01565133973104582,0.0,0.0,0.0,0.0,0.0,0.0
AKR1C1,0.0,0.0,0.006519970348969473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1C2,0.0,0.0,0.0061825745470597045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1C3,0.0,0.0,0.0065796704104334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR1C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091136785973984,0.0,0.0,0.0,0.0,0.0
AKR7A3,0.0,0.0,0.0027588664767420772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL022328.1,0.0,0.0,0.0,0.0,0.0,0.0007309634323920548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL049829.1,0.0,0.0,0.0002039752100017503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL117190.2,0.0,0.0,0.0,0.0005446003023922759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL158147.2,5.8986857914822354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL163636.6,0.0,0.0,0.0,0.0029094383741426464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL353354.2,0.0,0.0,0.00202527935784443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359693.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184215191149329,0.0,0.0,0.0,0.0,0.0,0.0
AL590235.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006222228234036942,0.0,0.0,0.0,0.0
AL590714.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002639304085534998,0.0,0.0,0.0,0.0,0.0
AL603965.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023390843855887782,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0020578430277338445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A1,0.0,0.0,0.0,0.0,0.0,0.003821076541300616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A2,0.0012367007202933468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH1A3,0.0,0.002576797164679569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH3A1,0.0,0.0,0.0,0.0,0.012350160954190668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH3B1,0.0,0.0,0.0,0.0,0.0,0.0031681210641440766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH3B2,0.0,0.0,0.0,0.0,0.0,0.0021839600935465095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH8A1,0.0,0.0,0.0,0.0013300015605692752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOB,0.0,0.0,0.0,0.0,0.0030869658124567743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG1L,0.0,0.0,0.0,0.0,0.0,0.0024093164086713328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03370079400874773,0.0,0.0,0.0
ALOX15B,0.0,0.0,0.0,0.0,0.0,0.0027279145558116715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5,0.0020220508127424064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5AP,0.0022131744579123322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPL,0.0,0.0,0.0,0.0,0.0,0.003365898809236142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPP,0.0,0.0,0.0021161862696190458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPPL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014217686361300202,0.0,0.0,0.0
ALS2CL,0.0017450149101345335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0,0.001971430343943366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013470225872689938
AMACR,0.0016826040129739959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023044084792162703,0.0,0.0,0.0
AMICA1,0.0017893717821812999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMIGO2,0.0,0.0,0.0,0.003675652305165484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTN,0.0,0.0,0.0016417516902579902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY1A,0.0,0.0,0.0013382763778163618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY1B,0.0,0.0,0.002681980033947626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY1C,0.0,0.0,0.0,0.0,0.0,0.0024329551829851254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMY2A,0.0,0.0,0.0005486073829980557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG,0.0,0.0,0.0,0.003566604329172668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT1,0.0013384880687796101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL1,0.0,0.0,0.0,0.0,0.0,0.001751370523604104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006534237661091768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4,0.0,0.0,0.0,0.0037226612566931792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKH,0.0,0.003165545448117333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD1,0.0,0.0,0.0031708873554817545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD29,0.001665016902302822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD33,0.0,0.0,0.0,0.0,0.0012579931390547703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD36C,0.0,0.0015791752313870071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD37,0.001724781950955307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANLN,0.0,0.002468376178644043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO1,0.0,0.002573819929365092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANPEP,0.0017580885145272646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA10,0.0,0.0,0.0014662696914094777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012022299426355337,0.0,0.0,0.0,0.0,0.0
ANXA3,0.0021129434909013937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030187951872417268,0.0,0.0,0.0,0.0
ANXA8L1,0.0,0.0,0.0036331105586342796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA8L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03368795525406305,0.0,0.0,0.0,0.0
AOAH,0.0015707001848981193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC1,0.0,0.0,0.002791430146631492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOC3,0.0,0.003127585697857755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOX1,0.0012497743246860779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP000349.1,0.0,0.0,0.0,0.0,0.0,0.000509021606890335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001350.1,0.0,0.0,0.0,0.0,0.0,9.00899954403431e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001579.1,0.0,0.0,0.0,0.0,0.0,0.00019042345974999632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP3M2,0.0016891408151703615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1,0.0017344315161023228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCDD1,0.0017118639847101085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002690173821455646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLN,0.0013811329212035186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLP1,0.0014178635240211918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA1,0.0,0.0,0.0018660791939406247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011607551641485551,0.0,0.0,0.0,0.0,0.0
APOA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021132288123654076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048983102403004014,0.0,0.0,0.0
APOB,0.0,0.0,0.0,0.0,0.0008961047017924392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3A,0.0,0.0,0.0,0.0,0.009913445476624304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3B,0.0,0.0024182593841836856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBR,0.0014606640145926326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017451284261129803,0.0
APOC2,0.001783924447017662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC3,0.0,0.0,0.0,0.0,0.0,0.0,0.04645373774509804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC4-APOC2,0.0,0.0,0.0013025467955765872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOD,0.0,0.0,0.0,0.004149259497087364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
